Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2,Excel±Í«©: dm_air,Excel±Í«©: m_ls_opt_do
2025-06-25T19:12:21.848,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:22.709,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:23.586,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:24.624,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:25.662,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:26.591,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:27.556,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:28.477,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:29.181,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:29.809,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:30.706,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:31.519,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:32.353,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:33.179,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:34.024,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:34.911,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:35.821,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:36.694,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:37.562,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:38.495,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:39.353,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:40.205,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:41.167,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:41.996,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:42.830,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:43.686,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:44.543,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:45.412,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:46.277,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:47.155,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:48.085,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:48.978,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:49.885,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:50.760,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:51.649,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:52.604,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:53.520,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:54.403,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:55.274,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T19:12:56.181,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
